mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
mobile,12,2346,512,100,1800,1200,1500,11,330000,18939,10227060,9696768,311061,5.73909,94.2609,4.5056,0.25858,4.4105,47,0.156667,59.9545
mobile,12,2346,512,100,1800,1500,1800,11,330000,16413,8863020,8403456,313587,4.97364,95.0264,4.5056,0.224092,7.20199,53,0.176667,55.0152
mobile,13,2346,512,100,1800,2,300,5,149000,12712,6864480,6508544,136288,8.53154,91.4685,2.048,0.174726,7.72327,29,0.0973154,46.5101
mobile,13,2346,512,100,1800,300,600,10,299000,17369,9379260,8892928,281631,5.80903,94.191,4.096,0.237145,5.96274,43,0.143333,57.6923
mobile,13,2346,512,100,1800,600,900,12,359600,18535,10008900,9489920,341065,5.15434,94.8457,4.9152,0.253065,7.59154,54,0.18,56.8687
mobile,13,2346,512,100,1800,900,1200,12,360000,25048,13525920,12824576,334952,6.95778,93.0422,4.9152,0.341989,7.43498,46,0.153333,57.3611
mobile,13,2346,512,100,1800,1200,1500,12,360000,9653,5212620,4942336,350347,2.68139,97.3186,4.9152,0.131796,8.48367,57,0.19,57.125
mobile,13,2346,512,100,1800,1500,1800,12,360000,17244,9311760,8828928,342756,4.79,95.21,4.9152,0.235438,8.04504,46,0.153333,55.4722
mobile,14,2346,512,100,1800,2,300,5,149000,2884,1557360,1476608,146116,1.93557,98.0644,2.048,0.0396405,9.7816,24,0.0805369,55.1678
mobile,14,2346,512,100,1800,300,600,10,299000,12465,6731100,6382080,286535,4.1689,95.8311,4.096,0.170189,5.69729,46,0.153333,61.5552
mobile,14,2346,512,100,1800,600,900,13,389400,23496,12687840,12029952,365904,6.0339,93.9661,5.3248,0.320799,8.23296,63,0.21,54.3143
mobile,14,2346,512,100,1800,900,1200,13,390000,15922,8597880,8152064,374078,4.08256,95.9174,5.3248,0.217388,6.67613,63,0.21,49.8205
mobile,14,2346,512,100,1800,1200,1500,13,390000,23038,12440520,11795456,366962,5.90718,94.0928,5.3248,0.314545,5.30833,60,0.2,52.2308
mobile,14,2346,512,100,1800,1500,1800,13,390000,6901,3726540,3533312,383099,1.76949,98.2305,5.3248,0.0942217,7.68538,62,0.206667,54.8333
mobile,15,2346,512,100,1800,2,300,5,149000,8544,4613760,4374528,140456,5.73423,94.2658,2.048,0.117437,5.64833,22,0.0738255,49.7315
mobile,15,2346,512,100,1800,300,600,10,299000,17934,9684360,9182208,281066,5.99799,94.002,4.096,0.244859,5.60854,49,0.163333,57.6254
mobile,15,2346,512,100,1800,600,900,14,419200,25625,13837500,13120000,393575,6.11283,93.8872,5.7344,0.349867,6.38732,62,0.206667,54.2581
mobile,15,2346,512,100,1800,900,1200,14,420000,33817,18261180,17314304,386183,8.05167,91.9483,5.7344,0.461715,6.93131,54,0.18,54.75
mobile,15,2346,512,100,1800,1200,1500,14,420000,20429,11031660,10459648,399571,4.86405,95.136,5.7344,0.278924,8.24265,61,0.203333,53.75
mobile,15,2346,512,100,1800,1500,1800,14,420000,10832,5849280,5545984,409168,2.57905,97.421,5.7344,0.147893,5.59914,54,0.18,59.9286
mobile,16,2346,512,100,1800,2,300,5,149000,6065,3275100,3105280,142935,4.07047,95.9295,2.048,0.0833632,4.86579,21,0.0704698,52.7181
mobile,16,2346,512,100,1800,300,600,10,299000,25559,13801860,13086208,273441,8.54816,91.4518,4.096,0.348966,7.94586,44,0.146667,53.5953
mobile,16,2346,512,100,1800,600,900,15,449000,25873,13971420,13246976,423127,5.76236,94.2376,6.144,0.353253,6.92709,72,0.24,55.49
mobile,16,2346,512,100,1800,900,1200,15,450000,24890,13440600,12743680,425110,5.53111,94.4689,6.144,0.339831,7.089,61,0.203333,58.6778
mobile,16,2346,512,100,1800,1200,1500,15,450000,25184,13599360,12894208,424816,5.59644,94.4036,6.144,0.343846,6.68931,58,0.193333,59.4667
mobile,16,2346,512,100,1800,1500,1800,15,450000,23927,12920580,12250624,426073,5.31711,94.6829,6.144,0.326683,4.9712,62,0.206667,56.9111
mobile,17,2346,512,100,1800,2,300,5,149000,13362,7215480,6841344,135638,8.96779,91.0322,2.048,0.18366,6.93136,19,0.0637584,49.1611
mobile,17,2346,512,100,1800,300,600,10,299000,17827,9626580,9127424,281173,5.96221,94.0378,4.096,0.243398,4.72809,47,0.156667,54.7826
mobile,17,2346,512,100,1800,600,900,15,449000,19817,10701180,10146304,429183,4.41359,95.5864,6.144,0.270568,5.90249,62,0.206667,58.1514
mobile,17,2346,512,100,1800,900,1200,16,479800,26481,14299740,13558272,453319,5.51917,94.4808,6.5536,0.361554,7.12898,66,0.22,59.3997
mobile,17,2346,512,100,1800,1200,1500,16,480000,17203,9289620,8807936,462797,3.58396,96.416,6.5536,0.234878,8.68828,71,0.236667,57.8125
mobile,17,2346,512,100,1800,1500,1800,16,480000,12217,6597180,6255104,467783,2.54521,97.4548,6.5536,0.166803,6.24234,68,0.226667,59.875
mobile,18,2346,512,100,1800,2,300,5,149000,17861,9644940,9144832,131139,11.9872,88.0128,2.048,0.245499,5.97378,21,0.0704698,51.3758
mobile,18,2346,512,100,1800,300,600,10,299000,11260,6080400,5765120,287740,3.76589,96.2341,4.096,0.153737,8.2304,49,0.163333,55.1003
mobile,18,2346,512,100,1800,600,900,15,449000,22885,12357900,11717120,426115,5.09688,94.9031,6.144,0.312457,8.46439,73,0.243333,55.2673
mobile,18,2346,512,100,1800,900,1200,17,509600,27508,14854320,14084096,482092,5.39796,94.602,6.9632,0.375576,7.71673,81,0.27,56.4659
mobile,18,2346,512,100,1800,1200,1500,17,510000,27205,14690700,13928960,482795,5.33431,94.6657,6.9632,0.371439,7.37095,74,0.246667,56.5294
mobile,18,2346,512,100,1800,1500,1800,17,510000,18631,10060740,9539072,491369,3.65314,96.3469,6.9632,0.254375,7.10619,75,0.25,63.6765
mobile,19,2346,512,100,1800,2,300,5,149000,4848,2617920,2482176,144152,3.25369,96.7463,2.048,0.0666356,3.27279,24,0.0805369,44.6644
mobile,19,2346,512,100,1800,300,600,10,299000,14297,7720380,7320064,284703,4.78161,95.2184,4.096,0.195202,6.58578,45,0.15,55.9197
mobile,19,2346,512,100,1800,600,900,15,449000,16635,8982900,8517120,432365,3.7049,96.2951,6.144,0.227123,8.39846,60,0.2,61.1693
mobile,19,2346,512,100,1800,900,1200,18,539400,29369,15859260,15036928,510031,5.44475,94.5552,7.3728,0.400985,7.12192,73,0.243333,55.9789
mobile,19,2346,512,100,1800,1200,1500,18,540000,25597,13822380,13105664,514403,4.74019,95.2598,7.3728,0.349484,7.14906,89,0.296667,53.037
mobile,19,2346,512,100,1800,1500,1800,18,540000,28084,15165360,14379008,511916,5.20074,94.7993,7.3728,0.38344,7.66162,77,0.256667,60.1852
mobile,20,2346,512,100,1800,2,300,5,149000,842,454680,431104,148158,0.565101,99.4349,2.048,0.0115733,0.471909,22,0.0738255,57.5503
mobile,20,2346,512,100,1800,300,600,10,299000,6940,3747600,3553280,292060,2.32107,97.6789,4.096,0.0947541,6.61917,47,0.156667,61.99
mobile,20,2346,512,100,1800,600,900,15,449000,20154,10883160,10318848,428846,4.48864,95.5114,6.144,0.275169,7.72125,72,0.24,51.0134
mobile,20,2346,512,100,1800,900,1200,19,569200,39627,21398580,20289024,529573,6.96188,93.0381,7.7824,0.541041,7.83278,84,0.28,55.5077
mobile,20,2346,512,100,1800,1200,1500,19,570000,30429,16431660,15579648,539571,5.33842,94.6616,7.7824,0.415457,7.87739,74,0.246667,59.7544
mobile,20,2346,512,100,1800,1500,1800,19,570000,28299,15281460,14489088,541701,4.96474,95.0353,7.7824,0.386376,6.79029,80,0.266667,56.0175
mobile,21,2346,512,100,1800,2,300,5,149000,3323,1794420,1701376,145677,2.2302,97.7698,2.048,0.0456745,8.41092,21,0.0704698,59.4966
mobile,21,2346,512,100,1800,300,600,10,299000,19723,10650420,10098176,279277,6.59632,93.4037,4.096,0.269285,7.64802,49,0.163333,45.7358
