mode,nNodes,rtsCtsThreshold,packetSize,packetRate,simTime,intervalStart,intervalEnd,activeClients,txPackets,rxPackets,rxBytes,rxPayloadBytes,lostPackets,pdrPercent,lossRatePercent,offeredLoadMbps,throughputMbps,avgDelayMs,gatewayRangeExitEvents,linkTearingRatePerSecond,outOfRangeSamplePercent
static,13,2346,512,100,1800,1500,1800,12,360000,59967,32382180,30703104,300033,16.6575,83.3425,4.9152,0.818749,3.87001,0,0,83.3333
static,14,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,14,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,89.9666
static,14,2346,512,100,1800,600,900,13,389400,0,0,0,389400,0,100,5.3248,0,0,0,0,92.2958
static,14,2346,512,100,1800,900,1200,13,390000,0,0,0,390000,0,100,5.3248,0,0,0,0,92.3077
static,14,2346,512,100,1800,1200,1500,13,390000,0,0,0,390000,0,100,5.3248,0,0,0,0,92.3077
static,14,2346,512,100,1800,1500,1800,13,390000,0,0,0,390000,0,100,5.3248,0,0,0,0,92.3077
static,15,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,15,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,89.9666
static,15,2346,512,100,1800,600,900,14,419200,0,0,0,419200,0,100,5.7344,0,0,0,0,85.7347
static,15,2346,512,100,1800,900,1200,14,420000,0,0,0,420000,0,100,5.7344,0,0,0,0,85.7143
static,15,2346,512,100,1800,1200,1500,14,420000,0,0,0,420000,0,100,5.7344,0,0,0,0,85.7143
static,15,2346,512,100,1800,1500,1800,14,420000,0,0,0,420000,0,100,5.7344,0,0,0,0,85.7143
static,16,2346,512,100,1800,2,300,5,149000,29800,16092000,15257600,119200,20,80,2.048,0.4096,0.465086,0,0,60
static,16,2346,512,100,1800,300,600,10,299000,79173,42753420,40536576,219827,26.4793,73.5207,4.096,1.08098,2.71515,0,0,50.0334
static,16,2346,512,100,1800,600,900,15,449000,119700,64638000,61286400,329300,26.6592,73.3408,6.144,1.6343,3.27104,0,0,53.3185
static,16,2346,512,100,1800,900,1200,15,450000,114133,61631820,58436096,335867,25.3629,74.6371,6.144,1.5583,3.12362,0,0,53.3333
static,16,2346,512,100,1800,1200,1500,15,450000,115300,62262000,59033600,334700,25.6222,74.3778,6.144,1.57423,3.15431,0,0,53.3333
static,16,2346,512,100,1800,1500,1800,15,450000,96374,52041960,49343488,353626,21.4164,78.5836,6.144,1.31583,2.8892,0,0,53.3333
static,17,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,17,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.465006,0,0,80
static,17,2346,512,100,1800,600,900,15,449000,30000,16200000,15360000,419000,6.68151,93.3185,6.144,0.4096,0.465059,0,0,80
static,17,2346,512,100,1800,900,1200,16,479800,30000,16200000,15360000,449800,6.25261,93.7474,6.5536,0.4096,0.465098,0,0,81.2422
static,17,2346,512,100,1800,1200,1500,16,480000,30000,16200000,15360000,450000,6.25,93.75,6.5536,0.4096,0.465108,0,0,81.25
static,17,2346,512,100,1800,1500,1800,16,480000,30000,16200000,15360000,450000,6.25,93.75,6.5536,0.4096,0.46537,0,0,81.25
static,18,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,18,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.46508,0,0,80
static,18,2346,512,100,1800,600,900,15,449000,89543,48353220,45846016,359457,19.9428,80.0572,6.144,1.22256,2.79108,0,0,73.363
static,18,2346,512,100,1800,900,1200,17,509600,84077,45401580,43047424,425523,16.4986,83.5014,6.9632,1.14793,2.58075,0,0,76.4521
static,18,2346,512,100,1800,1200,1500,17,510000,74961,40478940,38380032,435039,14.6982,85.3018,6.9632,1.02347,2.04267,0,0,76.4706
static,18,2346,512,100,1800,1500,1800,17,510000,66204,35750160,33896448,443796,12.9812,87.0188,6.9632,0.903905,1.41164,0,0,76.4706
static,19,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,19,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,80
static,19,2346,512,100,1800,600,900,15,449000,29800,16092000,15257600,419200,6.63697,93.363,6.144,0.406869,0.464648,0,0,80
static,19,2346,512,100,1800,900,1200,18,539400,30000,16200000,15360000,509400,5.56174,94.4383,7.3728,0.4096,0.464724,0,0,72.2655
static,19,2346,512,100,1800,1200,1500,18,540000,30000,16200000,15360000,510000,5.55556,94.4444,7.3728,0.4096,0.464839,0,0,72.2222
static,19,2346,512,100,1800,1500,1800,18,540000,30000,16200000,15360000,510000,5.55556,94.4444,7.3728,0.4096,0.464596,0,0,72.2222
static,20,2346,512,100,1800,2,300,5,149000,29800,16092000,15257600,119200,20,80,2.048,0.4096,0.465232,0,0,40
static,20,2346,512,100,1800,300,600,10,299000,30000,16200000,15360000,269000,10.0334,89.9666,4.096,0.4096,0.465093,0,0,49.9666
static,20,2346,512,100,1800,600,900,15,449000,30000,16200000,15360000,419000,6.68151,93.3185,6.144,0.4096,0.465689,0,0,59.9555
static,20,2346,512,100,1800,900,1200,19,569200,30000,16200000,15360000,539200,5.27056,94.7294,7.7824,0.4096,0.465551,0,0,63.1413
static,20,2346,512,100,1800,1200,1500,19,570000,30000,16200000,15360000,540000,5.26316,94.7368,7.7824,0.4096,0.465719,0,0,63.1579
static,20,2346,512,100,1800,1500,1800,19,570000,30000,16200000,15360000,540000,5.26316,94.7368,7.7824,0.4096,0.465715,0,0,63.1579
static,21,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,100
static,21,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.464768,0,0,80.0669
static,21,2346,512,100,1800,600,900,15,449000,30000,16200000,15360000,419000,6.68151,93.3185,6.144,0.4096,0.464625,0,0,73.363
static,21,2346,512,100,1800,900,1200,20,599000,30000,16200000,15360000,569000,5.00835,94.9917,8.192,0.4096,0.464882,0,0,79.9666
static,21,2346,512,100,1800,1200,1500,20,600000,30000,16200000,15360000,570000,5,95,8.192,0.4096,0.46511,0,0,80
static,21,2346,512,100,1800,1500,1800,20,600000,30000,16200000,15360000,570000,5,95,8.192,0.4096,0.465093,0,0,80
static,22,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,100
static,22,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,90.0334
static,22,2346,512,100,1800,600,900,15,449000,29800,16092000,15257600,419200,6.63697,93.363,6.144,0.406869,0.464525,0,0,86.6815
static,22,2346,512,100,1800,900,1200,20,599000,30000,16200000,15360000,569000,5.00835,94.9917,8.192,0.4096,0.464283,0,0,89.9833
static,22,2346,512,100,1800,1200,1500,21,629800,30000,16200000,15360000,599800,4.76342,95.2366,8.6016,0.4096,0.464678,0,0,90.4732
static,22,2346,512,100,1800,1500,1800,21,630000,30000,16200000,15360000,600000,4.7619,95.2381,8.6016,0.4096,0.464406,0,0,90.4762
static,23,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,100
static,23,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,80.0669
static,23,2346,512,100,1800,600,900,15,449000,29800,16092000,15257600,419200,6.63697,93.363,6.144,0.406869,0.46454,0,0,80
static,23,2346,512,100,1800,900,1200,20,599000,30000,16200000,15360000,569000,5.00835,94.9917,8.192,0.4096,0.464282,0,0,80
static,23,2346,512,100,1800,1200,1500,22,659600,30000,16200000,15360000,629600,4.54821,95.4518,9.0112,0.4096,0.464664,0,0,81.8072
static,23,2346,512,100,1800,1500,1800,22,660000,30000,16200000,15360000,630000,4.54545,95.4545,9.0112,0.4096,0.464321,0,0,81.8182
static,24,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,24,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,89.9666
static,24,2346,512,100,1800,600,900,15,449000,59583,32174820,30506496,389417,13.2702,86.7298,6.144,0.813507,3.53919,0,0,80.0445
static,24,2346,512,100,1800,900,1200,20,599000,83880,45295200,42946560,515120,14.0033,85.9967,8.192,1.14524,4.19156,0,0,70.0501
static,24,2346,512,100,1800,1200,1500,23,689400,79512,42936480,40710144,609888,11.5335,88.4665,9.4208,1.0856,3.84571,0,0,73.8903
static,24,2346,512,100,1800,1500,1800,23,690000,74910,40451400,38353920,615090,10.8565,89.1435,9.4208,1.02277,3.25007,0,0,73.913
static,25,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,40
static,25,2346,512,100,1800,300,600,10,299000,0,0,0,299000,0,100,4.096,0,0,0,0,69.8997
static,25,2346,512,100,1800,600,900,15,449000,0,0,0,449000,0,100,6.144,0,0,0,0,79.9555
static,25,2346,512,100,1800,900,1200,20,599000,0,0,0,599000,0,100,8.192,0,0,0,0,84.975
static,25,2346,512,100,1800,1200,1500,24,719200,0,0,0,719200,0,100,9.8304,0,0,0,0,87.4861
static,25,2346,512,100,1800,1500,1800,24,720000,0,0,0,720000,0,100,9.8304,0,0,0,0,87.5
static,26,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,100
static,26,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.464632,0,0,70.1003
static,26,2346,512,100,1800,600,900,15,449000,30000,16200000,15360000,419000,6.68151,93.3185,6.144,0.4096,0.464407,0,0,73.3185
static,26,2346,512,100,1800,900,1200,20,599000,54002,29161080,27649024,544998,9.01536,90.9846,8.192,0.737307,0.830656,0,0,70.0167
static,26,2346,512,100,1800,1200,1500,25,749000,55397,29914380,28363264,693603,7.39613,92.6039,10.24,0.756354,0.841821,0,0,71.9893
static,26,2346,512,100,1800,1500,1800,25,750000,60000,32400000,30720000,690000,8,92,10.24,0.8192,0.875208,0,0,72
static,27,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,40
static,27,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.465129,0,0,49.9666
static,27,2346,512,100,1800,600,900,15,449000,49399,26675460,25292288,399601,11.002,88.998,6.144,0.674461,0.790395,0,0,59.9555
static,27,2346,512,100,1800,900,1200,20,599000,68997,37258380,35326464,530003,11.5187,88.4813,8.192,0.942039,2.13083,0,0,64.975
static,27,2346,512,100,1800,1200,1500,25,749000,89996,48597840,46077952,659004,12.0155,87.9845,10.24,1.22875,3.00279,0,0,67.984
static,27,2346,512,100,1800,1500,1800,26,779800,89997,48598380,46078464,689803,11.541,88.459,10.6496,1.22876,3.00918,0,0,65.4014
static,28,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,80
static,28,2346,512,100,1800,300,600,10,299000,29800,16092000,15257600,269200,9.96656,90.0334,4.096,0.406869,0.465522,0,0,60.0669
static,28,2346,512,100,1800,600,900,15,449000,30000,16200000,15360000,419000,6.68151,93.3185,6.144,0.4096,0.465141,0,0,73.2739
static,28,2346,512,100,1800,900,1200,20,599000,30000,16200000,15360000,569000,5.00835,94.9917,8.192,0.4096,0.465487,0,0,74.9917
static,28,2346,512,100,1800,1200,1500,25,749000,30000,16200000,15360000,719000,4.00534,95.9947,10.24,0.4096,0.465838,0,0,79.9733
static,28,2346,512,100,1800,1500,1800,27,809600,30000,16200000,15360000,779600,3.70553,96.2945,11.0592,0.4096,0.465784,0,0,81.4723
static,29,2346,512,100,1800,2,300,5,149000,0,0,0,149000,0,100,2.048,0,0,0,0,100
